time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-04-19 20:38:38.823 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,77483856,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:39:38.839 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,78298576,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:40:38.856 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,78298576,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:41:38.868 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,78737432,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:42:38.875 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,79113504,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:43:38.892 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,79552336,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:44:38.901 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,79552336,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:45:38.917 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,81244536,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:46:38.933 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,81244536,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:47:38.945 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,81683336,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:48:38.953 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,82936872,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:49:38.969 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,82936872,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:50:38.985 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,83375704,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:51:39.002 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,83751728,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 20:52:39.013 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,85506360,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 21:09:31.887 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,85506360,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:52:38.388 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,87198536,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:53:38.396 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,87198536,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:54:38.408 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,87637208,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:55:38.415 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,88013232,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:56:38.430 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,88451920,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:57:38.448 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,88451920,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:58:38.461 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,89266576,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 22:59:38.473 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,89266576,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-19 23:00:38.477 UTC, ,125,3176189,1288,30112,224, ,5, , , , , , , , , , , ,5,5, , , , ,2,8, , , , , , , , , , , , , , , , ,18078,2,16502,16971, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492633718107, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,90582560,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
